city_id,name,state,country_id,country_code,lat,lng,timezone,region,population,season_profile,peak_months,primary_language,description,status,updated_at
cty_f29656ff,Aurangabad,Maharashtra,cnt_ff5051ed,IN,19.876165,75.343314,Asia/Kolkata,West India,1170000,winter,"10,11,12,2",mr,"Aurangabad is the kind of place that rewards a second day. The centre is compact enough to walk, the lakefront stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_cfec17b6,Ahmedabad,Gujarat,cnt_ff5051ed,IN,23.022505,72.571362,Asia/Kolkata,West India,8100000,winter,"11,12,1,2",gu,"Ahmedabad is the kind of place that rewards a second day. The centre is compact enough to walk, the lakefront stays busy well into the evening, and the best of it is off the main road.",active,2026-08-18T10:00:00+05:30
cty_caf3c1ee,Bhuj,Gujarat,cnt_ff5051ed,IN,23.241991,69.666931,Asia/Kolkata,West India,188000,winter,"11,12,1,2",gu,"Bhuj is the kind of place that rewards a second day. The centre is compact enough to walk, the old quarter stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_43d0a650,Panaji,Goa,cnt_ff5051ed,IN,15.49094,73.827827,Asia/Kolkata,West India,114000,winter,"11,12,1,2",mr,"Panaji is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_17b8ef2f,Bengaluru,Karnataka,cnt_ff5051ed,IN,12.971599,77.594566,Asia/Kolkata,South India,13200000,post_monsoon,"10,11,12,1",kn,"Bengaluru is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is off the main road.",active,2026-08-18T10:00:00+05:30
cty_8fc1539e,Mysuru,Karnataka,cnt_ff5051ed,IN,12.29581,76.639381,Asia/Kolkata,South India,1050000,post_monsoon,"9,10,11,12",kn,"Mysuru is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is off the main road.",active,2026-08-18T10:00:00+05:30
cty_bbb31d67,Hampi,Karnataka,cnt_ff5051ed,IN,15.33505,76.46006,Asia/Kolkata,South India,3000,winter,"11,12,1,2",kn,"Hampi is the kind of place that rewards a second day. The centre is compact enough to walk, the bazaar stays busy well into the evening, and the best of it is early.",active,2026-08-18T10:00:00+05:30
cty_a97c33ad,Gokarna,Karnataka,cnt_ff5051ed,IN,14.5499,74.3172,Asia/Kolkata,South India,25000,winter,"11,12,1,2",kn,"Gokarna is the kind of place that rewards a second day. The centre is compact enough to walk, the bazaar stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_f8b75f8e,Chennai,Tamil Nadu,cnt_ff5051ed,IN,13.08268,80.270718,Asia/Kolkata,South India,11500000,winter,"12,1,2",ta,"Chennai is the kind of place that rewards a second day. The centre is compact enough to walk, the bazaar stays busy well into the evening, and the best of it is off the main road.",active,2026-08-18T10:00:00+05:30
cty_3503e391,Madurai,Tamil Nadu,cnt_ff5051ed,IN,9.925201,78.119775,Asia/Kolkata,South India,1560000,winter,"10,11,12,1",ta,"Madurai is the kind of place that rewards a second day. The centre is compact enough to walk, the bazaar stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_7fc82336,Ooty,Tamil Nadu,cnt_ff5051ed,IN,11.41061,76.695007,Asia/Kolkata,South India,89000,summer,"4,5,6,10",ta,"Ooty is the kind of place that rewards a second day. The centre is compact enough to walk, the lakefront stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_f288c6a0,Pondicherry,Puducherry,cnt_ff5051ed,IN,11.916419,79.812555,Asia/Kolkata,South India,244000,winter,"11,12,1,2",ta,"Pondicherry is the kind of place that rewards a second day. The centre is compact enough to walk, the old quarter stays busy well into the evening, and the best of it is off the main road.",active,2026-08-18T10:00:00+05:30
cty_7f673457,Thanjavur,Tamil Nadu,cnt_ff5051ed,IN,10.786998,79.137827,Asia/Kolkata,South India,222000,winter,"11,12,1,2",ta,"Thanjavur is the kind of place that rewards a second day. The centre is compact enough to walk, the bazaar stays busy well into the evening, and the best of it is off the main road.",active,2026-08-18T10:00:00+05:30
cty_8b6b1652,Kochi,Kerala,cnt_ff5051ed,IN,9.931233,76.267303,Asia/Kolkata,South India,2120000,winter,"11,12,1,2",ml,"Kochi is the kind of place that rewards a second day. The centre is compact enough to walk, the old quarter stays busy well into the evening, and the best of it is early.",active,2026-08-18T10:00:00+05:30
cty_34bbfdfe,Alleppey,Kerala,cnt_ff5051ed,IN,9.498067,76.338844,Asia/Kolkata,South India,174000,winter,"11,12,1,2",ml,"Alleppey is the kind of place that rewards a second day. The centre is compact enough to walk, the old quarter stays busy well into the evening, and the best of it is early.",active,2026-08-18T10:00:00+05:30
cty_d401ef6b,Munnar,Kerala,cnt_ff5051ed,IN,10.08916,77.05957,Asia/Kolkata,South India,68000,winter,"9,10,11,12",ml,"Munnar is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_67ee7f6f,Thiruvananthapuram,Kerala,cnt_ff5051ed,IN,8.524139,76.936638,Asia/Kolkata,South India,1690000,winter,"11,12,1,2",ml,"Thiruvananthapuram is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_541018a9,Wayanad,Kerala,cnt_ff5051ed,IN,11.68538,76.1319,Asia/Kolkata,South India,817000,post_monsoon,"10,11,12,2",ml,"Wayanad is the kind of place that rewards a second day. The centre is compact enough to walk, the lakefront stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_718f03c7,Hyderabad,Telangana,cnt_ff5051ed,IN,17.385044,78.486671,Asia/Kolkata,South India,10500000,winter,"10,11,12,2",te,"Hyderabad is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is off the main road.",active,2026-08-18T10:00:00+05:30
cty_7cb0b529,Visakhapatnam,Andhra Pradesh,cnt_ff5051ed,IN,17.686816,83.218482,Asia/Kolkata,South India,2350000,winter,"10,11,12,2",te,"Visakhapatnam is the kind of place that rewards a second day. The centre is compact enough to walk, the lakefront stays busy well into the evening, and the best of it is early.",active,2026-08-18T10:00:00+05:30
cty_d4f5e3a5,Tirupati,Andhra Pradesh,cnt_ff5051ed,IN,13.6287,79.4192,Asia/Kolkata,South India,475000,winter,"9,10,11,2",te,"Tirupati is the kind of place that rewards a second day. The centre is compact enough to walk, the bazaar stays busy well into the evening, and the best of it is early.",active,2026-08-18T10:00:00+05:30
cty_ab50efee,Kolkata,West Bengal,cnt_ff5051ed,IN,22.572646,88.363895,Asia/Kolkata,East India,15100000,winter,"11,12,1,2",bn,"Kolkata is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_c43cfa94,Darjeeling,West Bengal,cnt_ff5051ed,IN,27.036007,88.262675,Asia/Kolkata,East India,120000,spring,"3,4,5,10",bn,"Darjeeling is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is off the main road.",active,2026-08-18T10:00:00+05:30
cty_b6ccbb3b,Puri,Odisha,cnt_ff5051ed,IN,19.8134,85.8312,Asia/Kolkata,East India,201000,winter,"11,12,1,2",or,"Puri is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is early.",active,2026-08-18T10:00:00+05:30
cty_7be8559f,Bhubaneswar,Odisha,cnt_ff5051ed,IN,20.296059,85.824539,Asia/Kolkata,East India,1160000,winter,"11,12,1,2",or,"Bhubaneswar is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_cf1c6ac5,Guwahati,Assam,cnt_ff5051ed,IN,26.144518,91.736237,Asia/Kolkata,North East India,1120000,post_monsoon,"10,11,2,3",as,"Guwahati is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is early.",active,2026-08-18T10:00:00+05:30
cty_590d4b7b,Shillong,Meghalaya,cnt_ff5051ed,IN,25.578773,91.893254,Asia/Kolkata,North East India,354000,post_monsoon,"9,10,11,3",en-IN,"Shillong is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is off the main road.",active,2026-08-18T10:00:00+05:30
cty_ccb4fb74,Gangtok,Sikkim,cnt_ff5051ed,IN,27.338936,88.606507,Asia/Kolkata,North East India,100000,spring,"3,4,5,10",ne,"Gangtok is the kind of place that rewards a second day. The centre is compact enough to walk, the bazaar stays busy well into the evening, and the best of it is early.",active,2026-08-18T10:00:00+05:30
cty_a50bc5dd,Colombo,,cnt_b8092331,LK,6.927079,79.861244,Asia/Colombo,South Asia,752000,winter,"12,1,2,3",si,"Colombo is the kind of place that rewards a second day. The centre is compact enough to walk, the old quarter stays busy well into the evening, and the best of it is early.",active,2026-08-18T10:00:00+05:30
cty_009c9fd2,Kandy,,cnt_b8092331,LK,7.290572,80.633728,Asia/Colombo,South Asia,125000,winter,"12,1,2,3",si,"Kandy is the kind of place that rewards a second day. The centre is compact enough to walk, the lakefront stays busy well into the evening, and the best of it is off the main road.",active,2026-08-18T10:00:00+05:30
cty_c0f2d9de,Kathmandu,,cnt_85022b8d,NP,27.717245,85.32396,Asia/Kathmandu,South Asia,1440000,autumn,"10,11,3,4",ne,"Kathmandu is the kind of place that rewards a second day. The centre is compact enough to walk, the bazaar stays busy well into the evening, and the best of it is early.",active,2026-08-18T10:00:00+05:30
cty_95d040d8,Pokhara,,cnt_85022b8d,NP,28.209583,83.985567,Asia/Kathmandu,South Asia,518000,autumn,"10,11,3,4",ne,"Pokhara is the kind of place that rewards a second day. The centre is compact enough to walk, the bazaar stays busy well into the evening, and the best of it is early.",active,2026-08-18T10:00:00+05:30
cty_79cbc59b,Thimphu,,cnt_e0e8c591,BT,27.472792,89.639286,Asia/Thimphu,South Asia,115000,spring,"3,4,5,10",ne,"Thimphu is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is off the main road.",active,2026-08-18T10:00:00+05:30
cty_9aa02925,Male,,cnt_d765968a,MV,4.175496,73.509347,Indian/Maldives,South Asia,133000,winter,"11,12,1,2",ar,"Male is the kind of place that rewards a second day. The centre is compact enough to walk, the lakefront stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_7b89639e,Dubai,,cnt_442ba9c5,AE,25.204849,55.270783,Asia/Dubai,Middle East,3500000,winter,"11,12,1,2",ar,"Dubai is the kind of place that rewards a second day. The centre is compact enough to walk, the bazaar stays busy well into the evening, and the best of it is early.",active,2026-08-18T10:00:00+05:30
cty_1ced6ede,Abu Dhabi,,cnt_442ba9c5,AE,24.453884,54.377343,Asia/Dubai,Middle East,1480000,winter,"11,12,1,2",ar,"Abu Dhabi is the kind of place that rewards a second day. The centre is compact enough to walk, the bazaar stays busy well into the evening, and the best of it is early.",active,2026-08-18T10:00:00+05:30
cty_6320eea9,Doha,,cnt_66747322,QA,25.285447,51.53104,Asia/Qatar,Middle East,1190000,winter,"11,12,1,2",ar,"Doha is the kind of place that rewards a second day. The centre is compact enough to walk, the bazaar stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_905fd8a1,Singapore,,cnt_316b34ed,SG,1.352083,103.819836,Asia/Singapore,Southeast Asia,5700000,summer,"2,3,7,8",zh,"Singapore is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is off the main road.",active,2026-08-18T10:00:00+05:30
cty_a5f16904,Bangkok,,cnt_26b73083,TH,13.756331,100.501765,Asia/Bangkok,Southeast Asia,10500000,winter,"11,12,1,2",th,"Bangkok is the kind of place that rewards a second day. The centre is compact enough to walk, the bazaar stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_c9f34ba7,Kuala Lumpur,,cnt_dacecf42,MY,3.139003,101.686855,Asia/Kuala_Lumpur,Southeast Asia,1800000,summer,"5,6,7,12",ms,"Kuala Lumpur is the kind of place that rewards a second day. The centre is compact enough to walk, the lakefront stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_36afaa5c,Bali,,cnt_3d8714fa,ID,-8.409518,115.188919,Asia/Makassar,Southeast Asia,4360000,summer,"5,6,7,8",id,"Bali is the kind of place that rewards a second day. The centre is compact enough to walk, the old quarter stays busy well into the evening, and the best of it is off the main road.",active,2026-08-18T10:00:00+05:30
cty_51a149b7,Kyoto,,cnt_28707a4d,JP,35.011636,135.768029,Asia/Tokyo,East Asia,1460000,spring,"3,4,10,11",ja,"Kyoto is the kind of place that rewards a second day. The centre is compact enough to walk, the lakefront stays busy well into the evening, and the best of it is early.",active,2026-08-18T10:00:00+05:30
cty_0b7f5985,Zurich,,cnt_93e73c95,CH,47.376887,8.541694,Europe/Zurich,Europe,434000,summer,"6,7,8,12",de,"Zurich is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
