category_id,code,label,parent_category_id,applies_to,updated_at
cat_829c3404,wellness_yoga,Yoga retreats,cat_f07c504b,poi,2026-08-18T10:00:00+05:30
cat_7201ae9b,viewpoint,Viewpoints,,poi,2026-08-18T10:00:00+05:30
cat_1c38c168,pkg_adventure,Adventure packages,,package,2026-08-18T10:00:00+05:30
cat_4d3566a6,pkg_honeymoon,Honeymoon packages,,package,2026-08-18T10:00:00+05:30
cat_fc3da75c,pkg_pilgrimage,Pilgrimage packages,,package,2026-08-18T10:00:00+05:30
cat_3949635c,pkg_family,Family packages,,package,2026-08-18T10:00:00+05:30
cat_7cd8d834,pkg_heritage,Heritage packages,,package,2026-08-18T10:00:00+05:30
cat_be3fdaec,pkg_wellness,Wellness packages,,package,2026-08-18T10:00:00+05:30
cat_c6b26893,pkg_wildlife,Wildlife packages,,package,2026-08-18T10:00:00+05:30
cat_9ce9638b,pkg_food,Food trail packages,,package,2026-08-18T10:00:00+05:30
cat_00f03499,exp_accommodation,Accommodation,,expense,2026-08-18T10:00:00+05:30
cat_980384a2,exp_hotel,Hotel,cat_00f03499,expense,2026-08-18T10:00:00+05:30
cat_a5e0a5ea,exp_homestay,Homestay,cat_00f03499,expense,2026-08-18T10:00:00+05:30
cat_ed65c7bc,exp_transport,Transport,,expense,2026-08-18T10:00:00+05:30
cat_a36e0dd1,exp_flight,Flights,cat_ed65c7bc,expense,2026-08-18T10:00:00+05:30
cat_b6dec909,exp_local_transport,Local transport,cat_ed65c7bc,expense,2026-08-18T10:00:00+05:30
cat_5bbd66c6,exp_fuel,Fuel & tolls,cat_ed65c7bc,expense,2026-08-18T10:00:00+05:30
cat_14c34ac1,exp_food,Food,,expense,2026-08-18T10:00:00+05:30
cat_9359474d,exp_restaurant,Restaurants,cat_14c34ac1,expense,2026-08-18T10:00:00+05:30
cat_f5ac6379,exp_groceries,Groceries,cat_14c34ac1,expense,2026-08-18T10:00:00+05:30
cat_bf6740a1,exp_activities,Activities,,expense,2026-08-18T10:00:00+05:30
cat_d2ab76cb,exp_tickets,Entry tickets,cat_bf6740a1,expense,2026-08-18T10:00:00+05:30
cat_d31569f3,exp_guide,Guide fees,cat_bf6740a1,expense,2026-08-18T10:00:00+05:30
cat_e09b83be,exp_shopping,Shopping,,expense,2026-08-18T10:00:00+05:30
cat_100b876d,exp_fees,Fees & charges,,expense,2026-08-18T10:00:00+05:30
cat_07434c9a,exp_misc,Miscellaneous,,expense,2026-08-18T10:00:00+05:30
