package_id,city_id,name,theme,tier,duration_days,duration_nights,base_price,currency,min_group_size,max_group_size,difficulty,languages_offered,inclusions,exclusions,description,status,updated_at
pkg_3a0c7fc4,cty_a50bc5dd,Colombo Wellness — 7 Days,wellness,standard,7,6,108090.91,LKR,1,4,moderate,"si,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 7-day wellness itinerary based in Colombo. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_8490fdc4,cty_6320eea9,Doha Wildlife — 4 Days,wildlife,premium,4,3,2751.42,QAR,2,4,challenging,"ar,en-IN,mr","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 4-day wildlife itinerary based in Doha. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_3ab55321,cty_905fd8a1,Singapore Wildlife — 6 Days,wildlife,deluxe,6,5,698.50,SGD,4,8,moderate,"zh,en-IN,kn","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 6-day wildlife itinerary based in Singapore. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_58440188,cty_3503e391,Madurai Wildlife — 7 Days,wildlife,deluxe,7,6,54589.50,INR,1,12,easy,"ta,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 7-day wildlife itinerary based in Madurai. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_23879f6a,cty_7fc82336,Ooty Adventure — 5 Days,adventure,deluxe,5,4,40141.54,INR,2,6,moderate,"ta,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 5-day adventure itinerary based in Ooty. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_e86d8944,cty_10cbee86,Jaisalmer Food Trail — 5 Days,food_trail,premium,5,4,74537.50,INR,2,8,easy,"hi,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 5-day food trail itinerary based in Jaisalmer. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_d8d9930a,cty_f8b75f8e,Chennai Food Trail — 6 Days,food_trail,deluxe,6,5,47596.45,INR,2,6,challenging,"ta,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 6-day food trail itinerary based in Chennai. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_3b037157,cty_c9f34ba7,Kuala Lumpur Wellness — 4 Days,wellness,premium,4,3,2937.85,MYR,2,8,moderate,"ms,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 4-day wellness itinerary based in Kuala Lumpur. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_869f8dc3,cty_8b6b1652,Kochi Adventure — 6 Days,adventure,deluxe,6,5,52127.10,INR,4,4,moderate,"ml,en-IN,kn","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 6-day adventure itinerary based in Kochi. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_0fd9e3a5,cty_ccb4fb74,Gangtok Heritage — 6 Days,heritage,deluxe,6,5,49913.62,INR,1,12,challenging,"ne,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 6-day heritage itinerary based in Gangtok. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_2f24169b,cty_17b8ef2f,Bengaluru Adventure — 5 Days,adventure,deluxe,5,4,32898.98,INR,1,12,easy,"kn,en-IN,ta","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 5-day adventure itinerary based in Bengaluru. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_1b0acd65,cty_34bbfdfe,Alleppey Adventure — 3 Days,adventure,deluxe,3,2,23380.28,INR,4,4,easy,"ml,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 3-day adventure itinerary based in Alleppey. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_f851de67,cty_7cb0b529,Visakhapatnam Pilgrimage — 3 Days,pilgrimage,deluxe,3,2,22525.59,INR,1,6,moderate,"te,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 3-day pilgrimage itinerary based in Visakhapatnam. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_e1ea3274,cty_caf3c1ee,Bhuj Family — 3 Days,family,deluxe,3,2,24055.46,INR,2,8,easy,"gu,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 3-day family itinerary based in Bhuj. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_6acc77eb,cty_9aa02925,Male Heritage — 7 Days,heritage,premium,7,6,19846.35,MVR,2,12,moderate,"ar,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 7-day heritage itinerary based in Male. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_518ec07c,cty_ab50efee,Kolkata Wildlife — 6 Days,wildlife,standard,6,5,22117.86,INR,4,12,challenging,"bn,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 6-day wildlife itinerary based in Kolkata. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_3c9f1e28,cty_c0f2d9de,Kathmandu Honeymoon — 6 Days,honeymoon,premium,6,5,133856.13,NPR,2,6,easy,"ne,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 6-day honeymoon itinerary based in Kathmandu. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_460b2dc6,cty_cf1c6ac5,Guwahati Family — 6 Days,family,premium,6,5,92059.53,INR,2,12,easy,"as,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 6-day family itinerary based in Guwahati. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_f1cd8999,cty_f29656ff,Aurangabad Heritage — 5 Days,heritage,premium,5,4,71367.60,INR,4,8,moderate,"mr,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 5-day heritage itinerary based in Aurangabad. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_403c7aed,cty_b43cdd57,Agra Heritage — 4 Days,heritage,standard,4,3,19347.29,INR,2,4,moderate,"hi,en-IN,gu","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 4-day heritage itinerary based in Agra. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_27931c29,cty_0b92e2e7,New Delhi Family — 3 Days,family,deluxe,3,2,19917.21,INR,4,6,challenging,"hi,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 3-day family itinerary based in New Delhi. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_c90f42b4,cty_c97e6cd5,Varanasi Heritage — 6 Days,heritage,standard,6,5,28239.00,INR,2,4,challenging,"hi,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 6-day heritage itinerary based in Varanasi. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_55c9e36a,cty_076e8e86,Jodhpur Heritage — 3 Days,heritage,standard,3,2,10921.73,INR,1,6,challenging,"hi,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 3-day heritage itinerary based in Jodhpur. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_e8140d7d,cty_bbb31d67,Hampi Family — 3 Days,family,deluxe,3,2,27168.44,INR,4,4,moderate,"kn,en-IN,bn","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 3-day family itinerary based in Hampi. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_428961ea,cty_c07454f1,Jaipur Honeymoon — 4 Days,honeymoon,standard,4,3,15712.93,INR,1,8,moderate,"hi,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 4-day honeymoon itinerary based in Jaipur. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_19e57b5d,cty_621f4a84,Pune Honeymoon — 4 Days,honeymoon,deluxe,4,3,34966.23,INR,1,8,easy,"mr,en-IN,bn","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 4-day honeymoon itinerary based in Pune. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_ce56cede,cty_0d9ab6ff,Nainital Food Trail — 5 Days,food_trail,premium,5,4,64534.17,INR,1,4,easy,"hi,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 5-day food trail itinerary based in Nainital. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_80121312,cty_5d572c8a,Udaipur Heritage — 3 Days,heritage,deluxe,3,2,19867.28,INR,2,6,challenging,"hi,en-IN,pa","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 3-day heritage itinerary based in Udaipur. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_3a8b40b7,cty_d35a9652,Rishikesh Pilgrimage — 4 Days,pilgrimage,standard,4,3,17746.85,INR,1,6,moderate,"hi,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 4-day pilgrimage itinerary based in Rishikesh. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_2bf18953,cty_cfec17b6,Ahmedabad Wellness — 3 Days,wellness,standard,3,2,12290.84,INR,2,12,challenging,"gu,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 3-day wellness itinerary based in Ahmedabad. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_1db18f87,cty_aa759717,Leh Heritage — 7 Days,heritage,premium,7,6,102694.85,INR,4,6,easy,"hi,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 7-day heritage itinerary based in Leh. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_67641f92,cty_8fc1539e,Mysuru Wildlife — 5 Days,wildlife,standard,5,4,23130.59,INR,2,12,moderate,"kn,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 5-day wildlife itinerary based in Mysuru. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_f394f9e1,cty_67ee7f6f,Thiruvananthapuram Food Trail — 4 Days,food_trail,premium,4,3,54718.63,INR,1,4,easy,"ml,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 4-day food trail itinerary based in Thiruvananthapuram. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_e5b326ba,cty_79cbc59b,Thimphu Wildlife — 4 Days,wildlife,premium,4,3,62333.96,BTN,1,6,easy,"ne,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 4-day wildlife itinerary based in Thimphu. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_8e0188c0,cty_541018a9,Wayanad Family — 4 Days,family,standard,4,3,19272.60,INR,2,6,challenging,"ml,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 4-day family itinerary based in Wayanad. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_4051f4ee,cty_828a7777,Srinagar Pilgrimage — 7 Days,pilgrimage,deluxe,7,6,55271.62,INR,4,4,easy,"ur,en-IN,gu","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 7-day pilgrimage itinerary based in Srinagar. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_b6611671,cty_b6ccbb3b,Puri Honeymoon — 3 Days,honeymoon,standard,3,2,14178.03,INR,1,8,easy,"or,en-IN,ml","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 3-day honeymoon itinerary based in Puri. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_711ea75c,cty_36afaa5c,Bali Wildlife — 3 Days,wildlife,premium,3,2,8532674.03,IDR,4,8,moderate,"id,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 3-day wildlife itinerary based in Bali. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_0b154071,cty_009c9fd2,Kandy Food Trail — 7 Days,food_trail,deluxe,7,6,162392.82,LKR,2,4,challenging,"si,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 7-day food trail itinerary based in Kandy. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_d0cd04dc,cty_c43cfa94,Darjeeling Wellness — 4 Days,wellness,deluxe,4,3,31878.55,INR,1,4,easy,"bn,en-IN,pa","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 4-day wellness itinerary based in Darjeeling. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_12f36da4,cty_43d0a650,Panaji Family — 6 Days,family,deluxe,6,5,45772.68,INR,2,4,easy,"mr,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 6-day family itinerary based in Panaji. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_b20c85a6,cty_5698a7ab,Lucknow Wellness — 6 Days,wellness,premium,6,5,89540.95,INR,2,4,moderate,"hi,en-IN,kn","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 6-day wellness itinerary based in Lucknow. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_ba6186d5,cty_32e8e65c,Shimla Pilgrimage — 3 Days,pilgrimage,standard,3,2,11967.45,INR,2,12,challenging,"hi,en-IN,mr","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 3-day pilgrimage itinerary based in Shimla. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_184f177f,cty_7b89639e,Dubai Heritage — 3 Days,heritage,standard,3,2,502.39,AED,2,6,challenging,"ar,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 3-day heritage itinerary based in Dubai. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_e075dd68,cty_a97c33ad,Gokarna Wellness — 5 Days,wellness,deluxe,5,4,42759.71,INR,4,12,challenging,"kn,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 5-day wellness itinerary based in Gokarna. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_e2cdfb87,cty_f288c6a0,Pondicherry Heritage — 6 Days,heritage,standard,6,5,23125.24,INR,2,4,challenging,"ta,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 6-day heritage itinerary based in Pondicherry. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_43dd9ea7,cty_590d4b7b,Shillong Honeymoon — 5 Days,honeymoon,standard,5,4,22993.26,INR,1,6,challenging,"en-IN,te","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 5-day honeymoon itinerary based in Shillong. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_4ad80067,cty_a5f16904,Bangkok Honeymoon — 3 Days,honeymoon,standard,3,2,4966.48,THB,4,6,moderate,"th,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 3-day honeymoon itinerary based in Bangkok. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_9a5a8536,cty_51a149b7,Kyoto Pilgrimage — 5 Days,pilgrimage,premium,5,4,116316.84,JPY,2,4,moderate,"ja,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 5-day pilgrimage itinerary based in Kyoto. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_d0f87f3c,cty_9327d518,Manali Adventure — 3 Days,adventure,deluxe,3,2,23586.07,INR,2,6,moderate,"hi,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 3-day adventure itinerary based in Manali. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
