guide_id,city_id,display_name,languages,specialisation,secondary_specialisation,years_experience,rating,review_count,day_rate,half_day_rate,currency,certified,bio,status,updated_at
gid_e1da0920,cty_5698a7ab,Arjun Singh,"hi,en-IN,ta",accessibility,,8,5,64,4500.00,2700.00,INR,1,Based in Lucknow for 6 years. Works mostly with first-time visitors and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_35e07e9c,cty_5698a7ab,Zoya Kulkarni,"hi,en-IN,kn",shopping,,14,,7,3200.00,1920.00,INR,1,Based in Lucknow for 28 years. Works mostly with families and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_76c1d795,cty_0b92e2e7,Ritu Bose,"hi,en-IN,te",accessibility,,19,3.5,233,1800.00,1080.00,INR,1,Based in New Delhi for 16 years. Works mostly with first-time visitors and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_2d936e8d,cty_0b92e2e7,Yuki Bhat,"hi,en-IN",religious,photography,7,4.6,200,6000.00,3600.00,INR,1,Based in New Delhi for 16 years. Works mostly with families and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_e0bb34c2,cty_0d062a51,Ishaan Kim,"pa,en-IN",trekking,religious,6,4.1,188,2400.00,1440.00,INR,1,Based in Amritsar for 28 years. Works mostly with photographers and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_37cb9a34,cty_0d062a51,Priya Sharma,"pa,en-IN",photography,,15,4.9,142,6000.00,3600.00,INR,1,Based in Amritsar for 13 years. Works mostly with families and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_1fdccfdf,cty_32e8e65c,Devi Rossi,"hi,en-IN",shopping,,16,4.8,140,4500.00,2700.00,INR,1,Based in Shimla for 27 years. Works mostly with first-time visitors and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_a52a052e,cty_32e8e65c,Shreya Sharma,"hi,en-IN",wildlife,shopping,10,4.2,200,1800.00,1080.00,INR,0,Based in Shimla for 11 years. Works mostly with photographers and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_a578313e,cty_9327d518,Lakshmi Chatterjee,"hi,en-IN",shopping,wildlife,20,3.9,31,2400.00,1440.00,INR,1,Based in Manali for 8 years. Works mostly with families and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_4124e7b1,cty_9327d518,Zoya Iyer,"hi,en-IN",photography,accessibility,8,4.4,223,1800.00,1080.00,INR,1,Based in Manali for 17 years. Works mostly with photographers and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_6f377a93,cty_d35a9652,Maya Verma,"hi,en-IN",shopping,accessibility,12,,35,4500.00,2700.00,INR,1,Based in Rishikesh for 22 years. Works mostly with photographers and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_ba8904a7,cty_d35a9652,Bhavna Khan,"hi,en-IN",photography,,18,4.5,106,4500.00,2700.00,INR,0,Based in Rishikesh for 22 years. Works mostly with small groups and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_20f2a591,cty_0d9ab6ff,Fatima Gupta,"hi,en-IN",accessibility,accessibility,5,5,46,6000.00,3600.00,INR,0,Based in Nainital for 4 years. Works mostly with first-time visitors and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_f893e523,cty_0d9ab6ff,Daniel Joshi,"hi,en-IN,ta",photography,religious,14,4.5,121,4500.00,2700.00,INR,1,Based in Nainital for 14 years. Works mostly with small groups and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_b5e067d4,cty_aa759717,Ravi Ahmed,"hi,en-IN",wildlife,photography,4,4.9,63,1800.00,1080.00,INR,1,Based in Leh for 27 years. Works mostly with photographers and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_ee2ce9b8,cty_aa759717,Kabir Bose,"hi,en-IN",wildlife,,24,3.8,209,3200.00,1920.00,INR,0,Based in Leh for 6 years. Works mostly with first-time visitors and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_84ff12d6,cty_828a7777,Leila Menon,"ur,en-IN",shopping,accessibility,23,4.5,105,6000.00,3600.00,INR,1,Based in Srinagar for 9 years. Works mostly with families and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_9ab78a50,cty_828a7777,Chen Pillai,"ur,en-IN,kn",heritage,accessibility,17,,202,6000.00,3600.00,INR,0,Based in Srinagar for 16 years. Works mostly with photographers and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_b2b1d5b2,cty_95e7c8ca,Siddharth Singh,"mr,en-IN,hi",food,trekking,9,4.9,226,2400.00,1440.00,INR,0,Based in Mumbai for 9 years. Works mostly with small groups and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_f7e271ad,cty_95e7c8ca,Nisha Costa,"mr,en-IN,bn",religious,heritage,3,4.6,120,2400.00,1440.00,INR,0,Based in Mumbai for 4 years. Works mostly with small groups and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_a63ee725,cty_621f4a84,Shreya Singh,"mr,en-IN,pa",photography,food,16,,206,1800.00,1080.00,INR,1,Based in Pune for 25 years. Works mostly with photographers and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_f23609de,cty_621f4a84,Aisha Costa,"mr,en-IN",religious,,4,4.6,49,4500.00,2700.00,INR,0,Based in Pune for 24 years. Works mostly with photographers and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_82a82f56,cty_f29656ff,Arjun Novak,"mr,en-IN",photography,religious,23,,122,3200.00,1920.00,INR,0,Based in Aurangabad for 28 years. Works mostly with small groups and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_ca55f873,cty_f29656ff,Omar Kim,"mr,en-IN,te",food,trekking,22,4.6,131,6000.00,3600.00,INR,1,Based in Aurangabad for 26 years. Works mostly with photographers and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_51ae4214,cty_cfec17b6,Riya Costa,"gu,en-IN",heritage,,9,4.7,135,6000.00,3600.00,INR,0,Based in Ahmedabad for 8 years. Works mostly with small groups and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_d9bfce76,cty_cfec17b6,Priya Reddy,"gu,en-IN",heritage,food,6,,34,4500.00,2700.00,INR,1,Based in Ahmedabad for 11 years. Works mostly with families and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_10c6db95,cty_caf3c1ee,Neha Pillai,"gu,en-IN",accessibility,trekking,25,3.8,160,6000.00,3600.00,INR,1,Based in Bhuj for 10 years. Works mostly with small groups and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_68fad42d,cty_caf3c1ee,Pooja Rao,"gu,en-IN",shopping,,12,4,136,6000.00,3600.00,INR,1,Based in Bhuj for 19 years. Works mostly with first-time visitors and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_eed49295,cty_43d0a650,Elena Weber,"mr,en-IN",wildlife,,24,4.2,198,4500.00,2700.00,INR,1,Based in Panaji for 25 years. Works mostly with photographers and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_c6d8fd49,cty_43d0a650,Yuki Rossi,"mr,en-IN,gu",heritage,shopping,8,4.2,184,3200.00,1920.00,INR,0,Based in Panaji for 29 years. Works mostly with small groups and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_9929fca0,cty_17b8ef2f,Aarav Kim,"kn,en-IN,gu",food,,18,4.7,206,4500.00,2700.00,INR,1,Based in Bengaluru for 10 years. Works mostly with first-time visitors and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_e335fd98,cty_17b8ef2f,Arjun Pillai,"kn,en-IN,pa",food,shopping,24,4.2,207,3200.00,1920.00,INR,1,Based in Bengaluru for 10 years. Works mostly with first-time visitors and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_91d62805,cty_8fc1539e,Pooja Kulkarni,"kn,en-IN,ta",accessibility,,12,,211,6000.00,3600.00,INR,0,Based in Mysuru for 5 years. Works mostly with small groups and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_fdf2ed46,cty_8fc1539e,Grace Costa,"kn,en-IN,hi",photography,food,16,4.1,7,1800.00,1080.00,INR,0,Based in Mysuru for 29 years. Works mostly with first-time visitors and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_ff619971,cty_bbb31d67,Omar Wong,"kn,en-IN",wildlife,trekking,5,,225,1800.00,1080.00,INR,1,Based in Hampi for 6 years. Works mostly with first-time visitors and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_d54a5c93,cty_bbb31d67,Riya Costa,"kn,en-IN,gu",heritage,shopping,9,3.7,238,1800.00,1080.00,INR,1,Based in Hampi for 4 years. Works mostly with photographers and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_c4fcff37,cty_a97c33ad,Ananya Wong,"kn,en-IN,bn",religious,wildlife,8,4.4,159,6000.00,3600.00,INR,1,Based in Gokarna for 29 years. Works mostly with families and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_2bacd3ed,cty_a97c33ad,Siddharth Verma,"kn,en-IN,hi",wildlife,heritage,18,5,93,2400.00,1440.00,INR,1,Based in Gokarna for 17 years. Works mostly with families and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_df3b65c4,cty_f8b75f8e,Karthik Patel,"ta,en-IN",accessibility,religious,23,4.4,33,6000.00,3600.00,INR,1,Based in Chennai for 4 years. Works mostly with small groups and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_4e6336ea,cty_f8b75f8e,Imran Novak,"ta,en-IN,mr",food,,9,,126,6000.00,3600.00,INR,1,Based in Chennai for 7 years. Works mostly with small groups and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_14075036,cty_3503e391,Tanvi Rao,"ta,en-IN,kn",wildlife,religious,2,3.9,141,2400.00,1440.00,INR,1,Based in Madurai for 14 years. Works mostly with families and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_2a2c1514,cty_3503e391,Aarav Menon,"ta,en-IN",photography,accessibility,23,3.7,43,4500.00,2700.00,INR,0,Based in Madurai for 23 years. Works mostly with photographers and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_8f26bc6a,cty_7fc82336,Ishaan Verma,"ta,en-IN",heritage,,13,4.1,161,4500.00,2700.00,INR,0,Based in Ooty for 16 years. Works mostly with families and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_1e58b052,cty_7fc82336,Priya Kulkarni,"ta,en-IN,gu",photography,food,13,4.2,210,2400.00,1440.00,INR,0,Based in Ooty for 23 years. Works mostly with first-time visitors and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_3561d64b,cty_f288c6a0,Arjun Patel,"ta,en-IN",food,,9,,95,2400.00,1440.00,INR,1,Based in Pondicherry for 18 years. Works mostly with small groups and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_b37f26b0,cty_f288c6a0,Karthik Tanaka,"ta,en-IN",photography,heritage,21,5,70,3200.00,1920.00,INR,1,Based in Pondicherry for 25 years. Works mostly with first-time visitors and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_ad5b7c5f,cty_7f673457,Arjun Nair,"ta,en-IN,kn",heritage,,23,4.7,77,2400.00,1440.00,INR,1,Based in Thanjavur for 19 years. Works mostly with small groups and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_dbf7be53,cty_7f673457,Meera Novak,"ta,en-IN",heritage,accessibility,24,4.3,128,6000.00,3600.00,INR,1,Based in Thanjavur for 20 years. Works mostly with photographers and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_86292bf6,cty_8b6b1652,Bhavna Silva,"ml,en-IN,mr",shopping,,24,,152,4500.00,2700.00,INR,1,Based in Kochi for 19 years. Works mostly with families and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_393f0367,cty_8b6b1652,Kavya Das,"ml,en-IN,gu",heritage,,24,5,91,4500.00,2700.00,INR,1,Based in Kochi for 20 years. Works mostly with photographers and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_32531872,cty_34bbfdfe,Ananya Menon,"ml,en-IN,kn",photography,photography,1,4.7,67,4500.00,2700.00,INR,1,Based in Alleppey for 21 years. Works mostly with first-time visitors and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_223eb8c5,cty_34bbfdfe,Ritu Silva,"ml,en-IN",trekking,food,25,,53,4500.00,2700.00,INR,1,Based in Alleppey for 21 years. Works mostly with small groups and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_bb19bfad,cty_d401ef6b,Anita Patel,"ml,en-IN",accessibility,,19,4,1,1800.00,1080.00,INR,0,Based in Munnar for 9 years. Works mostly with families and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_73c53c8a,cty_d401ef6b,Ananya Rossi,"ml,en-IN",photography,shopping,19,4.5,56,1800.00,1080.00,INR,1,Based in Munnar for 25 years. Works mostly with photographers and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_c288d6ae,cty_67ee7f6f,Nisha Shetty,"ml,en-IN",accessibility,food,11,4,175,2400.00,1440.00,INR,1,Based in Thiruvananthapuram for 11 years. Works mostly with small groups and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_3d3d1fb0,cty_67ee7f6f,Lakshmi Singh,"ml,en-IN",accessibility,,12,4.7,78,6000.00,3600.00,INR,0,Based in Thiruvananthapuram for 9 years. Works mostly with photographers and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_56a8f9e5,cty_541018a9,Lakshmi Kulkarni,"ml,en-IN",trekking,,7,4.3,63,6000.00,3600.00,INR,1,Based in Wayanad for 23 years. Works mostly with first-time visitors and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_0e4c3d78,cty_541018a9,Nisha Das,"ml,en-IN",shopping,trekking,24,,223,1800.00,1080.00,INR,1,Based in Wayanad for 23 years. Works mostly with families and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_68230ce7,cty_718f03c7,Pooja Ahmed,"te,en-IN",photography,,8,4.1,50,6000.00,3600.00,INR,1,Based in Hyderabad for 17 years. Works mostly with first-time visitors and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_49aa1325,cty_718f03c7,Arun Novak,"te,en-IN",trekking,photography,8,4,131,1800.00,1080.00,INR,1,Based in Hyderabad for 17 years. Works mostly with first-time visitors and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_b59cbd75,cty_7cb0b529,Ishaan Nair,"te,en-IN",trekking,,22,4.1,194,3200.00,1920.00,INR,1,Based in Visakhapatnam for 24 years. Works mostly with first-time visitors and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_4c4c5d44,cty_7cb0b529,Joseph Singh,"te,en-IN",food,,17,3.8,238,2400.00,1440.00,INR,1,Based in Visakhapatnam for 15 years. Works mostly with first-time visitors and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_6c9943e8,cty_d4f5e3a5,Karthik Sharma,"te,en-IN",heritage,,19,4.7,142,4500.00,2700.00,INR,0,Based in Tirupati for 5 years. Works mostly with first-time visitors and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_3c7601ca,cty_d4f5e3a5,Leila Joshi,"te,en-IN,ta",religious,accessibility,22,,212,2400.00,1440.00,INR,0,Based in Tirupati for 8 years. Works mostly with families and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_c9dd3bd3,cty_ab50efee,Gautam Das,"bn,en-IN",shopping,,3,4,20,4500.00,2700.00,INR,1,Based in Kolkata for 25 years. Works mostly with families and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_fd995272,cty_ab50efee,Anita Joshi,"bn,en-IN",religious,shopping,22,,136,2400.00,1440.00,INR,1,Based in Kolkata for 19 years. Works mostly with small groups and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_52b70b35,cty_c43cfa94,Marco Chatterjee,"bn,en-IN",heritage,,15,4.9,149,3200.00,1920.00,INR,0,Based in Darjeeling for 11 years. Works mostly with first-time visitors and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_8cd46f07,cty_c43cfa94,Aditya Pillai,"bn,en-IN,hi",religious,photography,3,4.3,120,1800.00,1080.00,INR,1,Based in Darjeeling for 23 years. Works mostly with small groups and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_7cdf70ec,cty_b6ccbb3b,Devi Ahmed,"or,en-IN",photography,wildlife,6,4.8,141,3200.00,1920.00,INR,1,Based in Puri for 14 years. Works mostly with families and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_9d9fcba5,cty_b6ccbb3b,Riya Wong,"or,en-IN,ta",accessibility,,16,4.5,22,1800.00,1080.00,INR,0,Based in Puri for 8 years. Works mostly with photographers and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_4fc5d2a3,cty_7be8559f,Imran Khan,"or,en-IN",accessibility,,22,4.2,41,6000.00,3600.00,INR,1,Based in Bhubaneswar for 7 years. Works mostly with families and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_4633207d,cty_7be8559f,Rohan Pillai,"or,en-IN",heritage,photography,25,4.3,87,6000.00,3600.00,INR,1,Based in Bhubaneswar for 13 years. Works mostly with small groups and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_aec11058,cty_cf1c6ac5,Thomas Fernandes,"as,en-IN,hi",trekking,,3,4.1,183,2400.00,1440.00,INR,0,Based in Guwahati for 20 years. Works mostly with families and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_dca4ccd0,cty_cf1c6ac5,Kabir Menon,"as,en-IN",shopping,religious,4,3.9,90,6000.00,3600.00,INR,1,Based in Guwahati for 21 years. Works mostly with small groups and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_8655ffa9,cty_590d4b7b,Arjun Bhat,en-IN,trekking,heritage,23,4.1,17,2400.00,1440.00,INR,0,Based in Shillong for 15 years. Works mostly with first-time visitors and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_5dca051c,cty_590d4b7b,Leila Tanaka,en-IN,religious,,17,4.4,185,1800.00,1080.00,INR,1,Based in Shillong for 4 years. Works mostly with small groups and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_2a4e7172,cty_ccb4fb74,Thomas Rao,"ne,en-IN,pa",religious,heritage,23,4.4,72,4500.00,2700.00,INR,1,Based in Gangtok for 11 years. Works mostly with photographers and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_38374963,cty_ccb4fb74,Yuki Wong,"ne,en-IN",accessibility,,22,,40,3200.00,1920.00,INR,1,Based in Gangtok for 5 years. Works mostly with first-time visitors and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_722b9759,cty_a50bc5dd,Nikhil Chatterjee,"si,en-IN,pa",food,heritage,18,5,45,11360.00,6816.00,LKR,0,Based in Colombo for 24 years. Works mostly with small groups and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_c0a62bd9,cty_a50bc5dd,Maya Chatterjee,"si,en-IN,ta",wildlife,accessibility,8,3.5,236,6390.00,3834.00,LKR,1,Based in Colombo for 5 years. Works mostly with photographers and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_e5068eed,cty_009c9fd2,Fatima Kulkarni,"si,en-IN",food,heritage,15,5,8,8520.00,5112.00,LKR,1,Based in Kandy for 15 years. Works mostly with photographers and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_3eaae3df,cty_009c9fd2,Pooja Tanaka,"si,en-IN,kn",heritage,,11,4.9,85,15975.00,9585.00,LKR,1,Based in Kandy for 5 years. Works mostly with first-time visitors and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_74cd2e55,cty_c0f2d9de,Marco Mehta,"ne,en-IN",food,heritage,13,4.6,176,7200.00,4320.00,NPR,1,Based in Kathmandu for 9 years. Works mostly with photographers and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_c7a814cd,cty_c0f2d9de,Yuki Bose,"ne,en-IN",trekking,heritage,9,4,69,7200.00,4320.00,NPR,1,Based in Kathmandu for 28 years. Works mostly with families and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_7a13be35,cty_95d040d8,Marco Tanaka,"ne,en-IN,bn",religious,,20,4.4,238,5120.00,3072.00,NPR,0,Based in Pokhara for 10 years. Works mostly with families and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_50aef583,cty_95d040d8,Riya Pillai,"ne,en-IN,gu",photography,shopping,17,5,182,5120.00,3072.00,NPR,1,Based in Pokhara for 5 years. Works mostly with first-time visitors and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_033a7832,cty_79cbc59b,Tanvi Reddy,"ne,en-IN",shopping,,4,4.1,83,4500.00,2700.00,BTN,0,Based in Thimphu for 8 years. Works mostly with small groups and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_7c9c489b,cty_79cbc59b,Imran Das,"ne,en-IN,gu",wildlife,,1,4.5,89,3200.00,1920.00,BTN,1,Based in Thimphu for 29 years. Works mostly with families and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_c95f4d8f,cty_9aa02925,Yuki Kulkarni,"ar,en-IN",wildlife,shopping,23,4.3,23,832.50,499.50,MVR,0,Based in Male for 25 years. Works mostly with photographers and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_7276e86c,cty_9aa02925,Bhavna Chatterjee,"ar,en-IN",wildlife,,7,,160,1110.00,666.00,MVR,1,Based in Male for 9 years. Works mostly with families and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_f4cade2c,cty_7b89639e,Sneha Rao,"ar,en-IN,pa",food,trekking,20,,183,141.12,84.67,AED,1,Based in Dubai for 7 years. Works mostly with first-time visitors and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_152dd6ca,cty_7b89639e,Daniel Chatterjee,"ar,en-IN,gu",heritage,accessibility,23,4.6,40,79.38,47.63,AED,1,Based in Dubai for 20 years. Works mostly with families and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_a39eec78,cty_1ced6ede,Farhan Rao,"ar,en-IN,gu",food,wildlife,22,4.1,63,105.84,63.50,AED,1,Based in Abu Dhabi for 20 years. Works mostly with small groups and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_dc2b1340,cty_1ced6ede,Tanvi Novak,"ar,en-IN,kn",photography,food,1,4.9,86,198.45,119.07,AED,0,Based in Abu Dhabi for 10 years. Works mostly with photographers and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_400d63cc,cty_6320eea9,Shreya Patel,"ar,en-IN,te",wildlife,,6,4.8,85,78.66,47.20,QAR,0,Based in Doha for 15 years. Works mostly with first-time visitors and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_ca6f557f,cty_6320eea9,Yuki Verma,"ar,en-IN,gu",food,photography,20,4.6,156,104.88,62.93,QAR,1,Based in Doha for 27 years. Works mostly with first-time visitors and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_217cf6d0,cty_905fd8a1,Nisha Bose,"zh,en-IN,ml",food,shopping,13,4.1,158,96.60,57.96,SGD,1,Based in Singapore for 5 years. Works mostly with photographers and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_c05f49e8,cty_905fd8a1,Leila Gupta,"zh,en-IN,bn",food,,6,4.2,123,72.45,43.47,SGD,0,Based in Singapore for 20 years. Works mostly with first-time visitors and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_d5bcf642,cty_a5f16904,Ravi Das,"th,en-IN",wildlife,,3,4.3,123,2526.00,1515.60,THB,0,Based in Bangkok for 17 years. Works mostly with families and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_2593d2c3,cty_a5f16904,Meera Rossi,"th,en-IN",trekking,food,22,4.2,164,757.80,454.68,THB,1,Based in Bangkok for 27 years. Works mostly with small groups and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_1bdc5851,cty_c9f34ba7,Yuki Nair,"ms,en-IN,pa",heritage,food,3,4.4,56,128.88,77.33,MYR,1,Based in Kuala Lumpur for 16 years. Works mostly with small groups and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_4c078d5e,cty_c9f34ba7,Kavya Chatterjee,"ms,en-IN",wildlife,accessibility,21,4.8,183,171.84,103.10,MYR,0,Based in Kuala Lumpur for 22 years. Works mostly with photographers and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_6171e074,cty_36afaa5c,Anita Khan,"id,en-IN",religious,religious,19,4.2,140,624000.00,374400.00,IDR,1,Based in Bali for 15 years. Works mostly with first-time visitors and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_38e7021d,cty_36afaa5c,Imran Bhat,"id,en-IN",wildlife,trekking,20,5,177,468000.00,280800.00,IDR,1,Based in Bali for 9 years. Works mostly with small groups and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
